4.4653,4.5076,6.65,209.35,19.552,3.4331,6.1847,5.5092,7.0358,6.3,7.3852,4.274,3.7835,0.82305,6.8841,24.161,8.34,25.217,0.2085,3.115,56.7,61.5,2.5243,3.9422
3.6116,4.2229,6.84,-86.593,33.642,2.4876,7.2574,4.6089,7.1364,6,7.3933,2.6962,3.7347,1.641,0.48338,20.553,8.88,-6.0124,0.058919,2.8489,58.9,62.9,0.61056,7.4768
6.5477,3.7143,6.92,15.116,-88.75,4.5325,9.4991,0.84064,9.7204,5.8,7.3291,0.38369,3.4951,4.0734,4.2713,-35.153,9.12,32.668,26.367,3.708,60.2,62,3.1886,-23.061
2.2437,3.1093,6.66,128.03,4.3254,6.9547,7.2803,7.045,3.5119,5.7,7.2619,1.1489,3.1039,2.8269,2.8575,-44.269,8.42,9.4504,-19.675,2.9334,56.1,58.4,1.3709,0.30536
5.2502,4.5646,7.16,394.14,7.3447,7.6703,7.065,2.9296,3.385,5.5,7.3072,3.0476,4.3937,3.2064,7.3665,13.344,8.91,9.7031,9.4187,3.2664,56.9,59.6,0.60273,0.73774
2.3012,4.846,7.98,38.061,5.2977,3.6859,8.5296,3.3959,1.722,5.5,7.3025,6.0265,4.898,1.5936,5.1945,-52.3,9.1,-33.112,2.2188,2.7939,56.2,59.5,1.1834,0.099927
5.2628,4.3461,8.47,-130.1,12.11,3.4912,7.8885,4.5589,2.7719,5.3,7.3467,3.3504,3.9824,5.1359,1.1226,-12.949,8.96,21.997,6.0632,3.2325,55.7,58.2,0.87074,2.0318
4.0145,4.5197,9.44,-131.46,22.155,2.195,11.39,1.8425,1.6795,5.2,7.3059,8.7996,4.4584,3.1281,-0.40785,90.737,9.21,-9.9952,13.309,3.0056,53.4,55.5,0.7724,4.4241
3.1328,6.4119,9.73,42.071,30.477,2.7534,4.8174,1.8775,-1.3521,5.2,7.2123,7.8997,5.284,1.1667,-4.2562,40.078,8.77,-28.14,-3.8578,1.8763,49.6,49.8,2.11,6.2982
2.9747,3.1164,9.08,-392.55,34.824,7.6025,4.8031,3.9508,-2.6398,5.2,7.2049,-1.0681,2.268,2.7093,1.8003,-22.342,8.11,-7.5642,-3.5675,1.0107,45.7,45.7,1.6023,8.1389
0.84476,4.0469,8.61,-226.48,3.7233,7.7287,6.2507,1.7648,1.6243,5.4,7.1982,4.6079,3.1122,3.4566,4.9475,21.831,7.91,-3.0578,-2.9359,1.885,47,49.7,0.40754,0.15278
4.3556,6.8249,8.25,492.81,-10.336,5.7001,8.1298,3.4217,2.7356,5.3,7.2626,10.779,5.6647,5.6954,4.6366,26.432,8.42,17.708,3.8949,2.6702,48.7,51.3,4.1598,-4.0001
